Pregunta,Respuesta
¿Cuántos lados tiene un cuadrado?,4
¿Cuántos lados tiene un triángulo?,3
¿Cuánto es 3+5?,8
"¿Qué número va después de 10?,11	"
Primera letra vocal,a
"¿Qué color obtenemos al mezclar rojo	y azul?,Morado"
"¿Qué color obtenemos al mezclar azul	y amarillo?,Verde"
¿Cuál es la segunda letra vocal?,b
Escribe la c mayúscula,C
"¿Qué color obtenemos al mezclar rojo	y amarillo?,Naranja"
¿Cuánto es 4 + 6?,10
5 + 4,9
El resultado de 3 -1,2
15 + 5,20
El resultado de 10 - 7,3
9+7,16
Cuarta letra del abecedario ,D
Escriba la letra g en mayúscula,G
Parte del cuerpo nos sirve para escuchar,Oreja
Parte del cuerpo que nos ayuda a agarrar cosas,Manos
23 + 3,26
Escriba la H en minúsculas ,h
Última letra del abecedario,Z
¿Qué número va luego del 42?,43
¿Qué número va luego de 65?,66
El resultado de 30 - 26,4
El resultado de 13 - 3,10
9 + 8,17
Tecera letra vocal,i
